Title,Description,Language,Creator,Provider,Resource Class,Resource Type,Theme,Date Issued,Temporal Coverage,Index Year,Spatial Coverage,Geometry,Bounding Box,Member Of,Rights,Access Rights,Format,ID,Identifier,Information,Download,Metadata Version,Suppressed
"Data You Can Use MKE Indicators Milwaukee, Wisconsin 2025","This collection of tabular data, prepared by Data You Can Use and released in 2025, presents updated neighborhood indicators for the city of Milwaukee, Wisconsin.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Collections,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,,,,,,Aardvark,
"Data You Can Use Equitable Housing MKE Indicators Milwaukee, Wisconsin 2025","This collection of tabular data, prepared by Data You Can Use and released in 2025, presents equitable housing indicators by census tract in the city of Milwaukee, Wisconsin.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Collections,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,,,,,,Aardvark,
"Data You Can Use Population MKE Indicators Milwaukee, Wisconsin 2025","This collection of tabular data, prepared by Data You Can Use and released in 2025, presents population indicators by census tract in the city of Milwaukee, Wisconsin.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Collections,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,,,,,,Aardvark,
"Data You Can Use Market Value MKE Indicators Milwaukee, Wisconsin 2025","This collection of tabular data, prepared by Data You Can Use and released in 2025, presents market value indicators by census tract in the city of Milwaukee, Wisconsin.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Collections,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,,,,,,Aardvark,
"Data You Can Use Equity & Access MKE Indicators Milwaukee, Wisconsin 2025","This collection of tabular data, prepared by Data You Can Use and released in 2025, presents equity and access indicators by census tract in the city of Milwaukee, Wisconsin.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Collections,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,,,,,,Aardvark,
"Data You Can Use Health MKE Indicators Milwaukee, Wisconsin 2025","This collection of tabular data, prepared by Data You Can Use and released in 2025, presents health indicators by census tract in the city of Milwaukee, Wisconsin.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Collections,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,,,,,,Aardvark,
"Latinx Homeownership Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents rates of homeownership by Hispanic and Latino individuals by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Black Homeownership Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents rates of homeownership by Black or African American individuals by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Rental Housing Cost Burden Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the share of occupied rental units paying 30% or more of income on rent by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
"Access to Broadband Internet Milwaukee, Wisconsin 2019-2023","This tabular data, prepared by Data You Can Use, presents the percent of households with an internet subscription by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019-2023 American Community Survey 5-year estimates and utilizes 2020 Census tracts.",eng,Data You Can Use,American Geographical Society Library – UWM Libraries,Datasets,Table data,Society,2025,2019-2023,2019|2020|2021|2022|2023,Milwaukee|Wisconsin,"ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)","ENVELOPE(-88.071061,-87.862713,43.194944,42.920816)",,"<a href=""https://uwm.edu/libraries/digital-collections/copyright-digcoll/"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>.|Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.",Public,Tabular Data,,,,,Aardvark,
