Title,Description,Language,Creator,Provider,Resource Class ,Resource Type,Theme,Temporal Coverage,Date Issued,Index Year,Spatial Coverage,Member Of,Geometry,Bounding Box,Rights,Access Rights,Format,Information,Download,ID,Identifier,Modified,Metadata Version,Suppressed
"""Data You Can Use Indicators, Milwaukee, Wisconsin, 2024""","""This collection of tabular data, prepared by Data You Can Use and released in 2024, present a variety of neighborhood indicators for the City of Milwaukee. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Collections""]","[""Table data""]","[""Society""]","[""2010-2024""]","""2024""","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[""Milwaukee, Wisconsin""]",,"""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""",,"""ark:-77981-gmgswdbrxmc""",,"""ark:-77981-gmgswdbrxmc""","[""ark:/77981/gmgswdbrxmc""]",,"""Aardvark""",false
"""Data You Can Use Equitable Housing Indicators, Milwaukee, Wisconsin, 2024""","""This collection of tabular data, prepared by Data You Can Use and released in 2024, presents equitable housing indicators by census tract in the city of Milwaukee, Wisconsin. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Collections""]","[""Table data""]","[""Society""]","[""2018-2022""]","""2024""","[2018, 2019, 2020, 2021, 2022]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""",,"""ark:-77981-gmgs4f4qrxn""",,"""ark:-77981-gmgs4f4qrxn""","[""ark:/77981/gmgs4f4qrxn""]",,"""Aardvark""",false
"""Latinx and Hispanic Homeownership, Milwaukee, Wisconsin, 2018-2922""","""This tabular data, prepared by Data You Can Use, presents rates of homeownership of Hispanic and Latinx households by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2018-2022 American Community Survey 5-year estimates and utilizes 2020 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2018-2022""]","""2024""","[2018, 2019, 2020, 2021, 2022]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs4f4qrxn""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgs0p2ngjz""",Milwaukee_LatinxHomeownership_2022.zip,"""ark:-77981-gmgs0p2ngjz""","[""ark:/77981/gmgs0p2ngjz""]",,"""Aardvark""",false
"""Black Homeownership, Milwaukee, Wisconsin, 2018-2022""","""This tabular data, prepared by Data You Can Use, presents rates of homeownership of Black households by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2018-2022 American Community Survey 5-year estimates and utilizes 2020 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2018-2022""]","""2024""","[2018, 2019, 2020, 2021, 2022]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs4f4qrxn""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgsvx0k8z0""",Milwaukee_BlackHomeownership_2022.zip,"""ark:-77981-gmgsvx0k8z0""","[""ark:/77981/gmgsvx0k8z0""]",,"""Aardvark""",false
"""Rental Cost Burden, Milwaukee, Wisconsin, 2018-2022""","""This tabular data, prepared by Data You Can Use, presents the share of households that are rent burdened (spending 30% or more of income on rent) by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2018-2022 American Community Survey 5-year estimates and utilizes 2020 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2018-2022""]","""2024""","[2018, 2019, 2020, 2021, 2022]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs4f4qrxn""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgsr4xh0k8"" ",Milwaukee_RentalBurden_2022.zip,"""ark:-77981-gmgsr4xh0k8"" ","[""ark:/77981/gmgsr4xh0k8""]",,"""Aardvark""",false
"""Household Broadband Access, Milwaukee, Wisconsin, 2018-2022""","""This tabular data, prepared by Data You Can Use, presents the share of households with access to broadband internet by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2018-2022 American Community Survey 5-year estimates and utilizes 2020 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2018-2022""]","""2024""","[2018, 2019, 2020, 2021, 2022]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs4f4qrxn""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgsmgqnn4s""",Milwaukee_Broadband_2022.zip,"""ark:-77981-gmgsmgqnn4s""","[""ark:/77981/gmgsmgqnn4s""]",,"""Aardvark""",false
"""Household Access to Healthy Food, Milwaukee, Wisconsin, 2019""","""This tabular data, prepared by Data You Can Use, presents the share of households without a grocery store within 1/2 mile by census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2019 Food Research Atlas prepared by the Economic Research Service (USDA) and utilizes 2020 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2019""]","""2024""",[2019],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs4f4qrxn""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgsgqnkbrk""",Milwaukee_FoodAccess_2019.zip,"""ark:-77981-gmgsgqnkbrk""","[""ark:/77981/gmgsgqnkbrk""]",,"""Aardvark""",false
"""Household Access to Parks, Milwaukee, Wisconsin, 2018""","""This tabular data, prepared by Data You Can Use, presents the percent share of open park land within a census tract in the city of Milwaukee, Wisconsin. The data is sourced from the 2018 National Neighborhood Data Archive (NaNDA): Parks by Census Tract and utilizes 2010 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2018""]","""2024""",[2018],"[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs4f4qrxn""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgsbzkh2cw""",Milwaukee_ParkAccess_2018.zip,"""ark:-77981-gmgsbzkh2cw""","[""ark:/77981/gmgsbzkh2cw""]",,"""Aardvark""",false
"""Data You Can Use Popuation Indicators, Milwaukee, Wisconsin, 2024""","""This collection of tabular data, prepared by Data You Can Use and released in 2024, presents population indicators by census tract in the city of Milwaukee, Wisconsin. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Collections""]","[""Table data""]","[""Society""]","[""2010-2022""]","""2024""","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""",,"""ark:-77981-gmgs76hds03""",,"""ark:-77981-gmgs76hds03""","[""ark:/77981/gmgs76hds03""]",,"""Aardvark""",false
"""Population Change, Milwaukee, Wisconsin, 2010-2020""","""This flat map, prepared in November of 2018 by Data You Can Use, presents the change in total population by census tract for the City of Milwaukee from 2010-2020. The data is sourced from the 2010 Decennial Census Table PCT1, 2020 Decennial Census Table DP1, and utilizes 2020 Census tracts. For more information, please visit <a href=\""https:www.datayoucanuse/prg/mke-indicators/data-resources-archives/\"">Data  You Can Use</a>.""","[""eng""]","[""Data You Can Use""]","""American Geographical Society Library – UWM Libraries""","[""Datasets""]","[""Table data""]","[""Society""]","[""2010-2020""]","""2024""","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[""Milwaukee, Wisconsin""]","[""ark:-77981-gmgswdbrxmc"", ""ark:-77981-gmgs76hds03""]","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""ENVELOPE(-87.859521, -88.077688, 43.19503, 42.919561)""","""<a href=\""https://uwm.edu/libraries/digital-collections/copyright-digcoll/\"">Please see the UWM Libraries statement on Copyright and Digital Collections</a>. "",      ""Although this data is being distributed by the American Geographical Society Library at the University of Wisconsin-Milwaukee Libraries, no warranty expressed or implied is made by the University as to the accuracy of the data and related materials. The act of distribution shall not constitute any such warranty, and no responsibility is assumed by the University in the use of this data, or related materials.""","""Public""","""Tabular Data""","""ark:-77981-gmgs3ffbgmw""",Milwaukee_PopulationChange_2010-2020.zip,"""ark:-77981-gmgs3ffbgmw""","[""ark:/77981/gmgs3ffbgmw""]",,"""Aardvark""",false
